symbol,name,lastSale,marketCap,ipoYear,sector,industry,summary
XXII,"22nd Century Group, Inc",0.7748,$58.89M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/xxii
FAX,Aberdeen Asia-Pacific Income Fund Inc,4.85,$1.29B,1986,n/a,n/a,http://www.nasdaq.com/symbol/fax
IAF,Aberdeen Australia Equity Fund Inc,5.4,$123.52M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/iaf
CH,"Aberdeen Chile Fund, Inc.",5.9,$55.38M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ch
ABE           ,Aberdeen Emerging Markets Smaller Company Opportunities Fund I,11.23,$109.32M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abe           
FCO,"Aberdeen Global Income Fund, Inc.",8.37,$74.03M,1992,n/a,n/a,http://www.nasdaq.com/symbol/fco
IF,"Aberdeen Indonesia Fund, Inc.",5.8701,$55.54M,1990,n/a,n/a,http://www.nasdaq.com/symbol/if
ISL,"Aberdeen Israel Fund, Inc.",16.8674,$68.04M,1992,n/a,n/a,http://www.nasdaq.com/symbol/isl
ACU,Acme United Corporation.,16.75,$55.82M,1988,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/acu
AIII,"ACRE Realty Investors, Inc.",1.37,$27.56M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/aiii
ATNM,"Actinium Pharmaceuticals, Inc.",2.02,$89.67M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/atnm
AE,"Adams Resources & Energy, Inc.",38.61,$162.84M,n/a,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/ae
ADK,Adcare Health Systems Inc,2.18,$43.39M,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/adk
ADK^A,Adcare Health Systems Inc,20.64,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adk^a
ACY,AeroCentury Corp.,10.88,$17.05M,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/acy
WGA,"AG&E Holdings, Inc.",0.3601,$4.2M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/wga
AIRI,Air Industries Group,6.222,$47.04M,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/airi
AA^,Alcoa Inc.,87.9223,n/a,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/aa^
AXU,Alexco Resource Corp,1.01,$78.16M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/axu
AAU,"Almaden Minerals, Ltd.",0.66,$51.52M,2015,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/aau
APT,"Alpha Pro Tech, Ltd.",1.79,$31.95M,n/a,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/apt
AAMC,Altisource Asset Management Corp,12.9,$25.42M,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/aamc
DIT,AMCON Distributing Company,80.31,$48.94M,n/a,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/dit
ADGE,American DG Energy Inc.,0.32,$16.22M,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/adge
AFCO,American Farmland Company,6.18,$104.39M,2015,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/afco
ALN,American Lorain Corporation,1.15,$44M,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/aln
AMS,American Shared Hospital Services,1.97,$10.57M,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/ams
AMPE,"Ampio Pharmaceuticals, Inc.",2.21,$114.96M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ampe
APHB,AmpliPhi Biosciences Corporation,4.58,$26.95M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/aphb
AXN,"Aoxing Pharmaceutical Company, Inc.",0.69,$52.58M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/axn
AMCO,"Armco Metals Holdings, Inc.",0.36,$2.93M,n/a,Consumer Durables,Steel/Iron Ore,http://www.nasdaq.com/symbol/amco
HRT,Arrhythmia Research Technology Inc.,4.7,$13.24M,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/hrt
AKG,Asanko Gold Inc.,2.11,$415.66M,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/akg
AINC,Ashford Inc.,44.04,$88.55M,2014,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/ainc
ASB.WS,Associated Banc-Corp,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/asb.ws
AST,"Asterias Biotherapeutics, Inc.",4.57,$172.03M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/ast
AWX,Avalon Holdings Corporation,1.91,$7.26M,n/a,Public Utilities,Environmental Services,http://www.nasdaq.com/symbol/awx
ASM,Avino Silver,0.95,$36.57M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/asm
BTG,B2Gold Corp,1.59,$1.47B,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/btg
